School,team_id,Year,FR,SO,JR,SR,GR,NONE,MCD
Fairfield,1193,2017,2,5,3,2,0,0,0
Fairleigh Dickinson,1192,2016,6,5,2,0,0,0,0
Fairleigh Dickinson,1192,2008,3,5,0,4,0,0,0
Fairleigh Dickinson,1192,2014,6,2,1,2,1,0,0
Fairleigh Dickinson,1192,2009,2,4,6,0,0,0,0
Fairleigh Dickinson,1192,2003,5,2,6,4,0,0,0
Fairleigh Dickinson,1192,2012,1,2,5,4,0,0,0
Fairleigh Dickinson,1192,2005,2,6,2,5,0,0,0
Fairleigh Dickinson,1192,2013,3,2,3,5,0,0,0
Fairleigh Dickinson,1192,2002,3,4,5,2,0,0,0
Fairleigh Dickinson,1192,2004,5,3,3,4,0,0,0
Fairleigh Dickinson,1192,2010,2,3,4,3,0,0,0
Fairleigh Dickinson,1192,2007,5,1,4,3,0,0,0
Fairleigh Dickinson,1192,2015,5,4,1,2,0,0,0
Fairleigh Dickinson,1192,2006,3,2,5,2,0,0,0
Fairleigh Dickinson,1192,2011,5,1,3,3,0,0,0
Fairleigh Dickinson,1192,2017,1,7,5,1,0,0,0
Florida,1196,2010,3,4,4,1,0,0,2
Florida,1196,2008,7,3,2,0,0,0,2
Florida,1196,2013,4,1,4,3,0,0,2
Florida,1196,2016,4,4,4,3,0,0,1
Florida,1196,2015,3,3,5,2,0,0,2
Florida,1196,2009,6,4,1,1,0,0,1
Florida,1196,2012,4,4,3,1,0,0,3
Florida,1196,2006,2,6,3,1,0,0,1
Florida,1196,2007,4,1,6,3,0,0,1
Florida,1196,2014,2,5,3,4,0,0,3
Florida,1196,2004,4,5,2,1,0,0,2
Florida,1196,2003,7,2,1,3,0,0,3
Florida,1196,2005,7,3,3,1,0,0,3
Florida,1196,2011,4,2,3,3,0,0,3
Florida,1196,2002,4,2,5,1,0,0,3
Florida,1196,2017,3,2,3,4,0,0,1
Florida A&M,1197,2008,3,1,3,5,0,0,0
Florida A&M,1197,2013,4,2,6,1,0,0,0
Florida A&M,1197,2012,2,3,5,5,0,0,0
Florida A&M,1197,2006,4,2,2,5,0,0,0
Florida A&M,1197,2003,1,4,4,3,0,0,0
Florida A&M,1197,2004,0,4,4,4,0,0,0
Florida A&M,1197,2016,7,3,3,2,0,0,0
Florida A&M,1197,2002,2,1,6,3,0,0,0
Florida A&M,1197,2005,3,0,7,4,0,0,0
Florida A&M,1197,2015,7,1,3,1,0,0,0
Florida A&M,1197,2010,4,5,3,0,0,0,0
Florida A&M,1197,2007,3,2,4,4,0,0,0
Florida A&M,1197,2009,7,2,1,3,0,0,0
Florida A&M,1197,2014,1,2,5,6,0,0,0
Florida A&M,1197,2011,2,3,5,3,0,0,0
Florida A&M,1197,2017,3,5,4,2,0,0,0
Florida Atlantic,1194,2008,7,2,4,4,0,0,0
Florida Atlantic,1194,2013,7,2,3,2,0,0,0
Florida Atlantic,1194,2016,4,2,3,3,0,0,0
Florida Atlantic,1194,2002,0,5,4,4,0,0,0
Florida Atlantic,1194,2010,7,2,3,0,0,0,0
Florida Atlantic,1194,2005,6,0,6,4,0,0,0
Florida Atlantic,1194,2011,2,8,3,1,0,0,0
Florida Atlantic,1194,2004,0,2,5,6,0,0,1
Florida Atlantic,1194,2012,2,2,5,3,0,0,0
Florida Atlantic,1194,2007,4,2,4,3,0,0,0
Florida Atlantic,1194,2014,4,2,4,2,0,0,0
Florida Atlantic,1194,2006,2,2,4,5,0,0,0
Florida Atlantic,1194,2015,4,2,3,4,0,0,0
Florida Atlantic,1194,2009,5,2,0,4,0,0,0
Florida Atlantic,1194,2003,0,2,6,3,0,0,1
Florida Atlantic,1194,2017,3,4,5,1,0,0,0
Florida Gulf Coast,1195,2011,4,4,4,3,0,0,0
Florida Gulf Coast,1195,2014,2,1,8,1,0,0,0
Florida Gulf Coast,1195,2013,3,5,2,2,0,0,0
Florida Gulf Coast,1195,2012,5,3,2,2,0,0,0
Florida Gulf Coast,1195,2015,2,7,1,5,0,0,0
Florida Gulf Coast,1195,2016,5,3,4,2,0,0,0
Florida Gulf Coast,1195,2017,3,5,5,2,0,0,0
Florida International,1198,2011,3,2,4,6,0,0,0
Florida International,1198,2005,5,1,4,4,0,0,0
Florida International,1198,2010,2,2,8,5,0,0,0
Florida International,1198,2008,3,3,4,2,0,0,0
Florida International,1198,2009,5,3,5,4,0,0,0
Florida International,1198,2003,1,3,5,4,0,0,0
Florida International,1198,2012,4,4,4,2,0,0,0
Florida International,1198,2013,2,4,3,4,0,0,0
Florida International,1198,2016,3,3,4,2,0,0,0
Florida International,1198,2015,2,4,4,3,0,0,0
Florida International,1198,2002,3,2,6,3,0,0,0
Florida International,1198,2004,3,0,6,3,0,0,0
Florida International,1198,2006,4,3,2,4,0,0,0
Florida International,1198,2007,3,4,3,2,0,0,0
Florida International,1198,2014,3,2,3,6,0,0,0
Florida International,1198,2017,0,4,3,5,0,1,0
Florida State,1199,2010,4,5,2,1,0,3,2
Florida State,1199,2016,4,2,2,4,0,0,1
Florida State,1199,2011,2,5,6,3,0,0,2
Florida State,1199,2004,4,2,3,5,0,0,2
Florida State,1199,2005,4,3,3,3,0,0,2
Florida State,1199,2009,6,3,1,3,0,0,1
Florida State,1199,2007,2,4,3,3,0,0,0
Florida State,1199,2014,3,6,0,3,0,0,0
Florida State,1199,2008,5,1,4,4,0,0,0
Florida State,1199,2006,3,3,4,3,0,0,0
Florida State,1199,2012,2,2,4,5,1,0,1
Florida State,1199,2015,3,3,6,1,0,0,0
Florida State,1199,2003,3,3,5,4,0,0,1
Florida State,1199,2013,5,1,5,3,0,0,1
Florida State,1199,2002,3,5,4,5,0,0,1
Florida State,1199,2017,3,4,4,2,0,0,1
Fordham,1200,2013,6,6,2,1,0,0,0
Fordham,1200,2009,5,2,3,3,0,0,0
Fordham,1200,2004,1,7,3,3,0,0,0
Fordham,1200,2012,6,4,1,3,0,0,0
Fordham,1200,2007,6,3,6,2,0,0,0
Fordham,1200,2005,5,3,5,3,0,0,0
Fordham,1200,2015,7,2,2,3,0,0,0
Fordham,1200,2014,3,6,3,3,0,0,0
Fordham,1200,2003,7,4,3,0,0,0,0
Fordham,1200,2011,5,5,4,2,0,0,0
Fordham,1200,2016,6,4,2,3,0,0,0
Fordham,1200,2002,5,6,0,3,0,0,0
Fordham,1200,2006,3,5,3,4,0,0,0
Fordham,1200,2010,8,4,1,3,0,0,0
Fordham,1200,2008,1,4,3,5,0,0,0
Fordham,1200,2017,3,6,5,1,0,0,0
Fresno State,1201,2011,4,2,4,1,0,0,0
Fresno State,1201,2004,1,3,5,4,0,0,0
Fresno State,1201,2003,2,0,4,4,0,0,0
Fresno State,1201,2010,4,4,2,1,0,0,0
Fresno State,1201,2005,8,1,1,3,0,0,0
Fresno State,1201,2006,2,4,4,0,0,0,0
Fresno State,1201,2016,3,1,6,3,0,0,0
Fresno State,1201,2008,4,1,2,6,0,0,0
Fresno State,1201,2007,0,1,7,4,0,0,0
Fresno State,1201,2013,5,0,4,3,0,0,0
Fresno State,1201,2015,1,4,5,1,0,0,0
Fresno State,1201,2009,4,4,2,1,0,0,0
Fresno State,1201,2014,5,3,3,2,0,0,0
Fresno State,1201,2012,1,3,4,2,0,0,0
Fresno State,1201,2002,3,1,6,1,0,0,1
Fresno State,1201,2017,5,2,3,3,0,0,0
Furman,1202,2016,3,6,2,3,0,0,0
Furman,1202,2005,2,5,2,3,0,0,0
Furman,1202,2003,3,4,2,4,0,0,0
Furman,1202,2004,6,3,3,2,0,0,0
Furman,1202,2010,1,8,4,1,0,0,0
Furman,1202,2002,3,4,4,2,0,0,0
Furman,1202,2009,6,5,1,2,0,0,0
Furman,1202,2011,3,2,5,5,0,0,0
Furman,1202,2012,5,3,2,4,0,0,0
Furman,1202,2014,4,6,1,1,0,0,0
Furman,1202,2013,6,3,1,3,0,0,0
Furman,1202,2007,6,3,1,4,0,0,0
Furman,1202,2008,6,4,2,1,0,0,0
Furman,1202,2015,5,3,4,1,0,0,0
Furman,1202,2006,4,4,4,2,0,0,0
Furman,1202,2017,2,5,4,2,0,0,0
Gardner-Webb,1205,2015,0,1,7,3,0,0,0
Gardner-Webb,1205,2007,8,3,3,1,0,0,0
Gardner-Webb,1205,2013,3,5,2,2,0,0,0
Gardner-Webb,1205,2006,3,2,1,6,0,0,0
Gardner-Webb,1205,2012,4,3,5,2,0,0,0
Gardner-Webb,1205,2005,2,1,8,2,0,0,0
Gardner-Webb,1205,2008,3,5,4,1,0,0,0
Gardner-Webb,1205,2003,5,3,4,2,0,0,0
Gardner-Webb,1205,2011,4,4,3,3,0,0,0
Gardner-Webb,1205,2004,2,5,1,4,0,0,0
Gardner-Webb,1205,2009,2,3,8,2,0,0,0
Gardner-Webb,1205,2010,4,2,3,6,0,0,0
Gardner-Webb,1205,2014,3,3,4,4,0,0,0
Gardner-Webb,1205,2016,5,1,1,5,0,0,0
Gardner-Webb,1205,2017,3,6,3,1,0,1,0
George Mason,1206,2009,6,3,1,3,0,0,0
George Mason,1206,2013,3,4,6,1,0,0,0
George Mason,1206,2003,4,1,4,2,0,0,0
George Mason,1206,2008,4,1,3,3,0,0,0
George Mason,1206,2010,7,4,2,1,0,0,0
George Mason,1206,2002,2,3,4,2,0,0,0
George Mason,1206,2016,5,0,3,5,0,0,0
George Mason,1206,2011,5,3,3,2,0,0,0
George Mason,1206,2005,4,5,3,0,0,0,0
George Mason,1206,2004,4,4,2,4,0,0,0
George Mason,1206,2014,2,2,4,4,0,0,0
George Mason,1206,2007,1,4,5,4,0,0,0
George Mason,1206,2015,3,3,5,3,0,0,0
George Mason,1206,2006,2,3,4,3,0,0,0
George Mason,1206,2012,3,6,2,3,0,0,0
George Mason,1206,2017,5,5,0,3,0,0,0
George Washington,1203,2008,4,6,5,1,0,0,0
George Washington,1203,2003,8,4,3,1,0,0,0
George Washington,1203,2010,5,3,2,4,0,1,0
George Washington,1203,2005,2,4,6,3,0,0,0
George Washington,1203,2004,4,6,4,1,0,0,0
George Washington,1203,2016,2,4,2,4,0,0,0
George Washington,1203,2007,6,3,2,3,0,0,0
George Washington,1203,2015,5,1,5,1,0,0,0
George Washington,1203,2013,5,2,1,4,0,0,0
George Washington,1203,2014,3,5,1,2,1,0,0
George Washington,1203,2009,4,3,5,4,0,0,0
George Washington,1203,2006,5,3,2,4,0,0,0
George Washington,1203,2012,3,2,5,4,0,0,0
George Washington,1203,2002,6,5,1,3,0,0,0
George Washington,1203,2011,4,5,3,1,0,0,0
George Washington,1203,2017,6,2,2,3,0,0,0
Georgetown,1207,2010,4,3,5,0,0,0,3
Georgetown,1207,2008,3,3,2,4,0,0,3
Georgetown,1207,2006,4,4,2,5,0,0,0
Georgetown,1207,2016,3,5,1,3,0,0,0
Georgetown,1207,2011,5,3,2,4,0,0,2
Georgetown,1207,2003,3,3,4,4,0,0,0
Georgetown,1207,2014,1,5,3,5,0,0,1
Georgetown,1207,2009,3,5,1,2,0,0,3
Georgetown,1207,2002,3,3,4,2,0,0,0
Georgetown,1207,2015,5,1,4,4,0,1,1
Georgetown,1207,2005,5,3,4,2,0,0,0
Georgetown,1207,2012,6,3,1,2,0,0,0
Georgetown,1207,2007,3,3,5,2,0,0,1
Georgetown,1207,2004,4,4,1,4,0,0,0
Georgetown,1207,2013,5,5,4,0,0,0,0
Georgetown,1207,2017,2,4,6,3,0,0,0
Georgia,1208,2015,3,5,3,3,0,0,0
Georgia,1208,2008,5,1,4,2,0,0,0
Georgia,1208,2016,5,2,4,2,0,0,0
Georgia,1208,2006,7,6,3,1,0,0,0
Georgia,1208,2005,11,4,1,1,0,0,0
Georgia,1208,2010,3,5,2,3,0,0,0
Georgia,1208,2003,6,3,6,2,0,0,1
Georgia,1208,2004,8,2,1,4,0,0,1
Georgia,1208,2007,4,5,3,2,0,0,0
Georgia,1208,2011,2,2,6,2,0,0,0
Georgia,1208,2002,4,6,4,1,0,0,0
Georgia,1208,2012,6,2,3,4,0,0,1
Georgia,1208,2014,6,4,5,1,0,0,0
Georgia,1208,2013,3,5,2,3,0,0,1
Georgia,1208,2009,5,4,2,2,0,0,0
Georgia,1208,2017,2,5,3,4,0,0,0
Georgia Southern,1204,2008,3,4,4,4,0,0,0
Georgia Southern,1204,2010,2,3,3,5,0,0,0
Georgia Southern,1204,2006,3,3,3,3,0,0,0
Georgia Southern,1204,2007,4,2,5,3,0,0,0
Georgia Southern,1204,2014,4,1,6,4,0,0,0
Georgia Southern,1204,2009,3,1,6,4,0,0,0
Georgia Southern,1204,2004,2,3,6,4,0,0,0
Georgia Southern,1204,2015,4,3,1,6,0,0,0
Georgia Southern,1204,2016,7,5,1,2,0,0,0
Georgia Southern,1204,2013,3,3,5,2,0,0,0
Georgia Southern,1204,2002,1,4,3,4,0,0,0
Georgia Southern,1204,2005,5,1,4,4,0,0,0
Georgia Southern,1204,2011,7,2,1,1,0,0,0
Georgia Southern,1204,2003,2,4,5,3,0,0,0
Georgia Southern,1204,2012,7,5,1,2,0,0,0
Georgia Southern,1204,2017,1,5,6,2,0,1,0
Georgia State,1209,2012,5,2,1,6,0,0,0
Georgia State,1209,2002,0,1,6,4,0,0,0
Georgia State,1209,2009,1,1,8,2,0,0,0
Georgia State,1209,2003,1,0,6,4,0,0,0
Georgia State,1209,2016,4,3,2,4,0,0,0
Georgia State,1209,2004,0,2,5,5,0,0,0
Georgia State,1209,2006,3,3,2,4,0,0,0
Georgia State,1209,2014,3,4,4,4,0,0,0
Georgia State,1209,2015,5,1,5,3,0,0,0
Georgia State,1209,2007,6,2,4,2,0,0,0
Georgia State,1209,2005,2,0,4,6,0,0,0
Georgia State,1209,2011,4,1,6,3,0,0,0
Georgia State,1209,2010,1,1,3,6,0,0,0
Georgia State,1209,2013,5,4,4,1,0,0,0
Georgia State,1209,2008,2,5,2,2,0,0,0
Georgia State,1209,2017,3,4,3,4,0,0,0
Georgia Tech,1210,2012,2,7,2,3,0,0,0
Georgia Tech,1210,2011,6,4,2,2,0,0,1
Georgia Tech,1210,2010,4,2,5,2,0,0,3
Georgia Tech,1210,2006,7,5,1,1,0,0,0
Georgia Tech,1210,2013,5,3,4,1,1,0,0
Georgia Tech,1210,2015,4,4,4,3,0,0,0
Georgia Tech,1210,2004,1,4,5,4,0,0,0
Georgia Tech,1210,2007,5,4,3,1,0,0,2
Georgia Tech,1210,2014,3,7,2,4,0,0,0
Georgia Tech,1210,2002,5,3,2,3,0,0,0
Georgia Tech,1210,2005,6,1,2,5,0,0,0
Georgia Tech,1210,2008,3,4,4,3,0,0,1
Georgia Tech,1210,2003,4,5,3,1,0,0,1
Georgia Tech,1210,2009,4,4,2,4,0,0,2
Georgia Tech,1210,2016,0,3,4,5,0,0,1
Georgia Tech,1210,2017,5,2,2,6,0,0,0
Gonzaga,1211,2007,3,5,3,2,0,0,1
Gonzaga,1211,2011,4,4,3,1,0,0,0
Gonzaga,1211,2004,4,2,2,5,0,0,0
Gonzaga,1211,2010,7,3,1,3,0,0,0
Gonzaga,1211,2002,2,4,3,3,0,0,0
Gonzaga,1211,2005,4,4,3,2,0,0,0
Gonzaga,1211,2013,3,2,5,3,0,0,0
Gonzaga,1211,2003,4,2,5,2,0,0,0
Gonzaga,1211,2015,4,2,4,4,0,0,1
Gonzaga,1211,2012,3,4,3,2,0,0,0
Gonzaga,1211,2014,3,3,3,3,1,0,0
Gonzaga,1211,2008,4,2,6,2,0,0,1
Gonzaga,1211,2006,3,2,4,5,0,0,0
Gonzaga,1211,2009,1,3,3,5,0,0,1
Gonzaga,1211,2016,3,4,1,4,0,0,1
Gonzaga,1211,2017,3,3,5,3,0,0,2
Grambling,1212,2010,3,3,3,5,0,2,0
Grambling,1212,2003,7,2,1,3,0,0,0
Grambling,1212,2013,4,4,1,4,0,0,0
Grambling,1212,2015,3,5,4,1,0,0,0
Grambling,1212,2012,1,6,4,2,0,0,0
Grambling,1212,2008,8,4,1,3,0,0,0
Grambling,1212,2014,6,3,3,5,0,1,0
Grambling,1212,2006,4,4,2,5,0,0,0
Grambling,1212,2009,2,5,4,2,0,0,0
Grambling,1212,2007,8,3,5,2,0,0,0
Grambling,1212,2016,1,2,9,2,0,0,0
Grambling,1212,2004,6,7,3,1,0,0,0
Grambling,1212,2011,3,2,5,3,0,0,0
Grambling,1212,2002,5,3,11,0,0,0,0
Grambling,1212,2005,7,1,6,2,0,0,0
Grambling,1212,2017,6,1,3,5,0,0,0
Grand Canyon,1213,2016,3,3,1,6,0,0,0
Grand Canyon,1213,2015,7,1,3,4,0,0,0
Grand Canyon,1213,2014,1,4,3,3,1,0,0
Grand Canyon,1213,2017,4,4,3,2,0,2,0
Green Bay,1453,2007,2,3,4,3,0,0,0
Green Bay,1453,2010,4,0,4,4,0,0,0
Green Bay,1453,2006,5,3,3,0,0,0,0
Green Bay,1453,2014,3,3,4,2,0,0,0
Green Bay,1453,2005,4,3,1,3,0,0,0
Green Bay,1453,2002,2,4,4,3,0,0,0
Green Bay,1453,2015,3,4,2,4,0,0,0
Green Bay,1453,2008,4,3,5,1,0,0,0
Green Bay,1453,2003,1,3,4,3,0,0,0
Green Bay,1453,2012,4,5,1,3,0,0,0
Green Bay,1453,2013,3,3,4,1,0,0,0
Green Bay,1453,2009,2,3,4,3,0,0,0
Green Bay,1453,2004,3,1,4,3,0,0,0
Green Bay,1453,2016,2,2,6,2,0,0,0
Green Bay,1453,2011,5,2,3,3,0,0,0
Green Bay,1453,2017,2,1,3,6,0,1,0
Hampton,1214,2003,4,2,4,6,0,0,0
Hampton,1214,2012,1,2,5,6,0,0,0
Hampton,1214,2005,3,6,4,2,0,0,0
Hampton,1214,2011,2,2,6,2,0,0,0
Hampton,1214,2006,4,3,6,3,0,0,0
Hampton,1214,2010,2,5,3,3,0,1,0
Hampton,1214,2008,4,7,1,5,0,0,1
Hampton,1214,2007,8,3,5,1,0,0,0
Hampton,1214,2009,6,2,6,1,0,0,0
Hampton,1214,2016,6,1,2,5,0,0,0
Hampton,1214,2015,3,3,8,2,0,0,0
Hampton,1214,2002,2,4,4,3,0,0,0
Hampton,1214,2013,6,1,3,3,0,0,0
Hampton,1214,2014,4,8,1,2,0,0,0
Hampton,1214,2004,6,5,2,3,0,0,0
Hampton,1214,2017,4,6,2,2,0,1,0
Hartford,1216,2013,4,6,2,1,1,0,0
Hartford,1216,2006,6,3,3,4,0,0,0
Hartford,1216,2008,4,2,6,2,0,0,0
Hartford,1216,2007,3,5,2,2,0,0,0
Hartford,1216,2009,4,4,2,3,0,0,0
Hartford,1216,2004,7,2,3,2,0,0,0
Hartford,1216,2015,2,3,2,7,0,0,0
Hartford,1216,2014,2,3,6,3,0,0,0
Hartford,1216,2005,2,5,5,2,0,0,0
Hartford,1216,2002,4,2,4,3,0,0,0
Hartford,1216,2012,7,2,2,3,0,0,0
Hartford,1216,2011,4,3,2,5,0,0,0
Hartford,1216,2016,4,3,5,2,0,0,0
Hartford,1216,2003,2,3,5,4,0,0,0
Hartford,1216,2010,3,2,7,2,0,0,0
Hartford,1216,2017,1,7,4,1,0,0,0
Harvard,1217,2012,7,4,5,3,0,0,0
Harvard,1217,2010,7,4,0,4,0,0,0
Harvard,1217,2015,3,3,3,7,0,0,0
Harvard,1217,2002,4,0,5,2,0,0,0
Harvard,1217,2005,3,4,4,4,0,0,0
Harvard,1217,2003,7,4,0,5,0,0,0
Harvard,1217,2009,6,0,3,4,0,0,0
Harvard,1217,2013,4,5,2,2,0,0,0
Harvard,1217,2007,6,5,2,3,0,0,0
Harvard,1217,2008,4,6,4,1,0,0,0
Harvard,1217,2006,5,2,4,3,0,0,0
Harvard,1217,2011,5,5,3,0,0,0,0
Harvard,1217,2014,3,4,7,4,0,0,0
Harvard,1217,2016,6,3,4,3,0,0,0
Harvard,1217,2004,3,4,4,0,0,0,0
Harvard,1217,2017,7,6,3,4,0,0,0
Hawaii,1218,2015,2,6,3,1,0,0,0
Hawaii,1218,2007,2,2,7,3,0,0,0
Hawaii,1218,2003,2,4,5,3,0,0,0
Hawaii,1218,2013,5,0,4,3,0,0,0
Hawaii,1218,2005,0,4,6,3,0,0,0
Hawaii,1218,2010,0,4,4,5,0,0,0
Hawaii,1218,2012,2,5,3,2,0,0,0
Hawaii,1218,2004,1,4,3,5,0,0,0
Hawaii,1218,2002,4,4,5,3,0,0,0
Hawaii,1218,2011,4,3,3,3,0,0,0
Hawaii,1218,2009,5,2,7,0,0,0,0
Hawaii,1218,2006,3,0,5,5,0,0,0
Hawaii,1218,2016,4,2,5,3,0,0,0
Hawaii,1218,2014,5,4,2,3,0,0,0
Hawaii,1218,2008,1,3,0,7,0,0,0
Hawaii,1218,2017,4,4,4,1,0,0,0
High Point,1219,2008,4,4,2,3,0,0,0
High Point,1219,2011,6,4,3,3,0,0,0
High Point,1219,2016,3,4,4,4,0,0,0
High Point,1219,2010,4,3,4,2,0,0,0
High Point,1219,2005,4,2,4,5,0,0,0
High Point,1219,2013,4,3,3,5,0,0,0
High Point,1219,2012,3,4,4,2,0,0,0
High Point,1219,2003,2,3,2,3,0,0,0
High Point,1219,2004,2,2,7,2,0,0,0
High Point,1219,2015,3,3,4,4,0,0,0
High Point,1219,2009,7,4,2,1,0,0,0
High Point,1219,2002,4,2,2,4,0,0,0
High Point,1219,2014,5,4,3,3,0,0,0
High Point,1219,2006,5,4,2,2,0,0,0
High Point,1219,2007,5,5,4,1,0,0,0
High Point,1219,2017,3,3,3,3,0,0,0
Hofstra,1220,2004,4,3,4,1,0,0,0
Hofstra,1220,2005,2,3,4,3,0,0,0
Hofstra,1220,2016,2,2,1,4,0,0,0
Hofstra,1220,2006,5,3,2,3,0,0,0
Hofstra,1220,2015,3,3,3,2,0,0,0
Hofstra,1220,2009,0,4,3,6,0,0,0
Hofstra,1220,2007,2,5,3,2,0,0,0
Hofstra,1220,2014,2,3,1,2,2,0,0
Hofstra,1220,2008,6,1,6,2,0,0,0
Hofstra,1220,2012,3,2,4,3,0,0,0
Hofstra,1220,2013,7,4,2,3,0,0,0
Hofstra,1220,2011,4,3,2,3,0,0,0
Hofstra,1220,2002,5,2,5,0,0,0,0
Hofstra,1220,2010,5,0,3,2,0,0,0
Hofstra,1220,2003,4,5,0,4,0,0,0
Hofstra,1220,2017,4,2,5,2,0,0,0
Holy Cross,1221,2014,6,3,5,1,0,0,0
Holy Cross,1221,2004,5,2,5,1,0,0,1
Holy Cross,1221,2005,3,2,2,5,0,0,0
Holy Cross,1221,2011,3,4,5,3,0,0,0
Holy Cross,1221,2016,6,0,6,3,0,0,0
Holy Cross,1221,2002,5,1,4,2,0,0,0
Holy Cross,1221,2010,4,4,3,2,0,0,0
Holy Cross,1221,2008,3,4,5,3,0,0,0
Holy Cross,1221,2003,3,6,1,4,0,0,1
Holy Cross,1221,2013,4,5,1,4,0,0,0
Holy Cross,1221,2009,4,3,2,5,0,0,0
Holy Cross,1221,2012,4,1,5,4,0,0,0
Holy Cross,1221,2006,5,3,2,2,0,0,0
Holy Cross,1221,2015,1,5,4,5,0,0,0
Holy Cross,1221,2007,5,5,3,2,0,0,0
Holy Cross,1221,2017,3,4,0,6,0,2,0
Houston,1222,2014,1,7,2,5,0,0,0
Houston,1222,2005,1,2,10,2,0,0,0
Houston,1222,2015,2,3,7,1,0,0,1
Houston,1222,2004,5,4,4,3,0,0,0
Houston,1222,2012,3,6,3,1,0,0,0
Houston,1222,2009,1,4,7,2,0,0,0
Houston,1222,2007,2,0,8,4,0,0,0
Houston,1222,2013,4,4,6,1,0,0,0
Houston,1222,2008,4,3,2,5,0,0,0
Houston,1222,2006,3,1,6,5,0,0,0
Houston,1222,2010,4,1,5,4,0,0,0
Houston,1222,2016,1,2,6,4,0,0,1
Houston,1222,2011,4,3,2,4,0,0,0
Houston,1222,2003,7,3,1,3,0,0,0
Houston,1222,2002,5,1,5,4,0,0,0
Houston,1222,2017,2,1,4,5,0,0,0
Houston Baptist,1223,2011,6,2,3,3,0,0,0
Houston Baptist,1223,2016,4,5,4,3,0,0,0
Houston Baptist,1223,2012,5,2,4,2,0,0,0
Houston Baptist,1223,2015,4,4,5,2,1,0,0
Houston Baptist,1223,2014,6,5,2,0,1,0,0
Houston Baptist,1223,2013,6,4,3,2,0,0,0
Houston Baptist,1223,2017,6,2,2,5,0,0,0
Howard,1224,2005,5,6,3,0,0,0,0
Howard,1224,2003,3,1,4,6,0,0,0
Howard,1224,2011,5,5,2,1,0,0,0
Howard,1224,2009,3,2,5,2,0,0,0
Howard,1224,2002,2,4,5,3,0,0,0
Howard,1224,2012,6,2,4,2,0,0,0
Howard,1224,2008,6,4,2,1,0,0,0
Howard,1224,2010,6,1,2,6,0,0,0
Howard,1224,2015,2,9,2,3,0,0,0
Howard,1224,2014,10,1,2,1,0,0,0
Howard,1224,2007,5,2,1,5,0,0,0
Howard,1224,2006,1,3,5,3,0,0,0
Howard,1224,2016,3,1,11,1,0,0,0
Howard,1224,2013,0,6,3,4,0,0,0
Howard,1224,2004,5,2,1,5,0,0,0
Howard,1224,2017,1,3,2,9,0,0,0
Idaho,1225,2013,1,3,6,4,0,0,0
Idaho,1225,2014,3,1,4,3,0,0,0
Idaho,1225,2004,1,1,5,5,0,0,0
Idaho,1225,2002,1,0,6,4,0,0,0
Idaho,1225,2010,2,1,4,6,0,0,0
Idaho,1225,2005,3,2,3,6,0,0,0
Idaho,1225,2011,3,1,5,3,0,0,0
Idaho,1225,2016,3,5,3,3,0,0,0
Idaho,1225,2003,2,2,5,3,0,0,0
Idaho,1225,2006,4,3,4,2,0,0,0
Idaho,1225,2009,0,0,6,5,0,0,0
Idaho,1225,2007,2,2,8,2,0,0,0
Idaho,1225,2012,2,2,5,4,0,0,0
Idaho,1225,2015,5,3,2,3,0,0,0
Idaho,1225,2008,1,0,8,3,0,0,0
Idaho,1225,2017,4,3,5,3,0,0,0
Idaho State,1226,2004,0,0,8,3,0,0,0
Idaho State,1226,2006,1,3,7,3,0,0,0
Idaho State,1226,2012,3,3,5,3,0,0,0
Idaho State,1226,2005,1,3,2,5,0,0,0
Idaho State,1226,2003,1,2,4,6,0,0,0
Idaho State,1226,2013,2,2,6,4,0,0,0
Idaho State,1226,2007,5,1,2,4,0,0,0
Idaho State,1226,2008,3,5,3,2,0,0,0
Idaho State,1226,2014,3,2,3,3,0,0,0
Idaho State,1226,2009,2,1,9,2,0,0,0
Idaho State,1226,2015,3,1,2,5,0,0,0
Idaho State,1226,2010,1,1,2,7,0,0,0
Idaho State,1226,2002,4,2,7,2,0,0,0
Idaho State,1226,2016,4,5,3,2,0,0,0
Idaho State,1226,2011,4,1,4,4,0,0,0
Idaho State,1226,2017,2,4,5,1,0,0,0
Illinois,1228,2004,4,3,5,1,0,0,1
Illinois,1228,2006,3,3,3,2,0,0,1
Illinois,1228,2003,5,3,1,5,0,0,2
Illinois,1228,2010,4,0,7,2,0,0,0
Illinois,1228,2002,3,3,5,4,0,0,2
Illinois,1228,2012,5,4,3,2,0,0,0
Illinois,1228,2008,6,1,5,3,0,0,0
Illinois,1228,2013,2,5,2,3,1,0,0
Illinois,1228,2007,3,4,3,3,0,0,0
Illinois,1228,2014,5,1,3,1,1,0,0
Illinois,1228,2015,2,5,3,3,0,0,0
Illinois,1228,2005,1,2,3,5,0,0,1
Illinois,1228,2011,5,3,1,4,0,0,1
Illinois,1228,2016,4,2,5,2,0,0,0
Illinois,1228,2009,1,7,2,3,0,0,0
Illinois,1228,2017,2,5,1,6,0,1,0
Illinois State,1229,2007,1,2,7,2,0,0,0
Illinois State,1229,2014,4,6,2,0,0,0,0
Illinois State,1229,2015,2,4,4,4,0,0,0
Illinois State,1229,2008,1,2,5,5,0,0,0
Illinois State,1229,2013,3,3,3,4,0,0,0
Illinois State,1229,2002,1,2,4,5,0,0,0
Illinois State,1229,2012,3,2,7,0,0,0,0
